key,fr_FR,nl_NL,it_IT,de_DE,nl_BE,es_ES,pt_ES
forms > creditcard.ownerlabel,Titulaire de la carte,Naam kaarthouder,Titulaire de la carte,Karteninhaber,Naam kaarthouder,Titular de la tarjeta,Titular do cartão
forms > creditcard.savecard,Enregistrer cette carte,Deze kaart registreren,Enregistrer cette carte,Diese Karte speichern,Deze kaart registreren,Guardar esta tarjeta,Guardar este cartão
forms > creditcard.type,Type,Soort,Type,Typ,Soort,Tipo,Tipo
forms > creditcard.typemissing,Sélectionnez une carte,Selecteer een kaart,Sélectionnez une carte,Wählen Sie eine Karte aus,Selecteer een kaart,Selecciona una tarjeta,Selecione um cartão
forms > creditcard.yearmissingerror,Veuillez sélectionner une année d'expiration,Selecteer vervaldatum - jaar,Veuillez sélectionner une année d'expiration,Bitte wählen Sie das Jahr des Ablaufdatums aus,Selecteer vervaldatum - jaar,Selecciona un año de caducidad,Selecione o ano do prazo de validade
forms > creditcard.yearvalueerror,Cette carte de crédit est expirée,Deze creditcard is verlopen.,Cette carte de crédit est expirée,Diese Karte ist abgelaufen,Deze creditcard is verlopen.,Esta tarjeta de crédito ha caducado,Este cartão de crédito expirou
forms > giftcert.purchase.from.label,Votre nom,Je naam,Votre nom,Ihr Name,Uw naam,Tu nombre,O seu nome
forms > global.createnowbutton,créer un compte,Account aanmaken,créer un compte,Ein Konto erstellen,Account aanmaken,crear una cuenta,criar uma conta
forms > label.newpassword,Nouveau mot de passe,Nieuw wachtwoord,Nouveau mot de passe,Neues Passwort,Nieuw wachtwoord,Nueva contraseña,Nova palavra-passe
forms > label.password,Mot de passe,Wachtwoord,Mot de passe,Passwort,Wachtwoord,Contraseña,Palavra-passe
forms > label.username,Adresse e-mail,E-mailadres,Adresse e-mail,E-Mail-Adresse,E-mailadres,Dirección de correo electrónico,Endereço de e-mail
forms > login.rememberme,Se souvenir de moi,Ingelogd blijven,Se souvenir de moi,Informationen speichern,Ingelogd blijven,Recordar,Guardar as informações
forms > ordertrack.orderEmail,E-mail de la commande,Bestel-e-mail,E-mail de la commande,E-Mail für die Bestellung,Bestel-e-mail,Correo electrónico del pedido,E-mail da encomenda
forms > ordertrack.orderEmail.missing-error,Saisissez l'adresse e-mail utilisée pour cette commande.,Vul het voor deze bestelling gebruikte e-mailadres in.,Saisissez l'adresse e-mail utilisée pour cette commande.,Geben Sie die für diese Bestellung verwendete E-Mail-Adresse ein.,Vul het voor deze bestelling gebruikte e-mailadres in.,Introduce la dirección de correo electrónico utilizada para este pedido.,Introduza o endereço de e-mail utilizado para efetuar esta encomenda.
forms > ordertrack.orderNumber,Numéro de commande,Bestelnummer,Numéro de commande,Bestellnummer,Bestelnummer,Número de pedido,Número da encomenda
forms > ordertrack.orderNumber.missing-error,Saisissez un numéro de commande.,Vul een bestelnummer in.,Saisissez un numéro de commande.,Geben Sie eine Bestellnummer ein. ,Vul een bestelnummer in.,Introduce un número de pedido.,Introduza um número de encomenda.
forms > ordertrack.postalCode,Code postal de facturation,Postcode voor facturering,Code postal de facturation,Postleitzahl der Rechnungsadresse,Postcode voor facturering,Código postal de la facturación,Código postal de faturação
forms > profile.confirmemail,Confirmer l'e-mail,Bevestig e-mailadres,Confirmer l'e-mail,E-Mail bestätigen,Bevestig e-mailadres,Confirmar correo electrónico,Confirmar o e-mail
forms > profile.dob,Date de naissance,Geboortedatum,Date de naissance,Geburtstag,Geboortedatum,Fecha de nacimiento,Data de nascimento
forms > profile.email,E-mail,"E-mailadres_x000D_
",E-mail,E-Mail,E-mail,Correo electrónico,E-mail
forms > profile.firstname,Prénom,Voornaam,Prénom,Vorname,Voornaam,Nombre,Nome
forms > profile.lastname,Nom,Achternaam,Nom,Name,Naam,Apellidos,Apelido
forms > profile.newpasswordconfirm,Confirmer le nouveau mot de passe,Bevestig wachtwoord,Confirmer le nouveau mot de passe,Neues Passwort bestätigen,Bevestig nieuw wachtwoord,Confirmar nueva contraseña,Confirmar a nova palavra-passe
forms > profile.passwordconfirm,Confirmer le mot de passe,Bevestig wachtwoord,Confirmer le mot de passe,Passwort bestätigen,Bevestig wachtwoord,Confirmar contraseña,Confirmar a palavra-passe
forms > profile.passwordnomatch,Ne correspond pas au mot de passe,Wachtwoord is niet correct,Ne correspond pas au mot de passe,Profil und Passwort stimmen nicht überein,Wachtwoord is niet correct,No coincide con la contraseña,Não corresponde à palavra-passe
forms > profile.phone,Téléphone,Telefoonnummer,Téléphone,Telefon,Telefoonnummer,Teléfono,Telefone
forms > promotions.address,Adresse,Adres,Adresse,Adresse,Adres,Dirección,Endereço
forms > promotions.civility,CivilitÃ©,Geslacht,CivilitÃ©,Anrede,Aanspreking,Tratamiento,Designação
forms > promotions.contact,Vos données,Jouw gegevens,Vos données,Ihre Kontaktdetails,Uw gegevens,Tus datos,Os seus dados
forms > promotions.enteraddress,Saisissez votre adresse,Vul je adres in,Saisissez votre adresse,Geben Sie bitte Ihre Adresse an,Voer uw adres in,Introduce tu dirección,Introduza o seu endereço
forms > promotions.giftproduct,Produit cadeau,Kies je product,Produit cadeau,Gratis Produkt,Geschenk,Producto para regalo,Produto de oferta
forms > promotions.incorrectiban,l'IBAN est incorrect,IBAN is niet correct,l'IBAN est incorrect,Ungültige IBAN,IBAN is niet juist,El IBAN no es correcto,O IBAN está incorreto
forms > promotions.mr,M.,Man,M.,Herr,Mr.,Sr.,Sr.
forms > promotions.mrs,Mme,Vrouw,Mme,Frau,Mevr.,Sra.,Sr.ª
forms > promotions.productbought,Produit achetÃ©,Welk product heb je gekocht?,Produit achetÃ©,Gekauftes Produkt,Aangekocht product,Producto comprado,Produto comprado
forms > promotions.promotion,bÃ©nÃ©ficier de l'offre,Neem deel aan de actie,bÃ©nÃ©ficier de l'offre,Profitieren Sie von diesem Angebot,genieten van de aanbieding,Beneficiarse de la oferta,aproveitar a oferta
forms > promotions.purchasedate,Date d'achat,"Aankoopdatum_x000D_
",Date d'achat,Kaufdatum,Aankoopdatum,Fecha de compra,Data da compra
forms > promotions.purchaseinfo,Détail de d'achats,Aankoopgegevens,Détail de d'achats,Informationen zum Kauf,Detail van de aankoop,Datos de compra,Informação das compras
forms > promotions.receipt,Ticket de caisse,"Upload aankoopbewijs (.jpg, .gif, .png, .pdf)",Ticket de caisse,Kaufbeleg,Kassabon,Ticket de caja,Talão de caixa
forms > promotions.store,Magasin,Waar heb je het product gekocht?,Magasin,Geschäft,Winkel,Tienda,Loja
forms > promotions.street,Rue,Straat,Rue,Straße,Straat,Calle,Rue
forms > promotions.street_number,NumÃ©ro de rue,Huisnummer,NumÃ©ro de rue,Hausnummer,Nummer,Número,Número de rua
forms > promotions.submit,Envoyer,Sturen,Envoyer,Senden,Sturen,Enviar,Enviar
forms > promotions.subscribe,En profiter,Nu aanmelden,En profiter,Jetzt zugreifen,Hiervan genieten,Aprovechar ahora,Aproveitar
forms > promotions.terms,Voir conditions,Zie actievoorwaarden,Voir conditions,Siehe AGB,Voorwaarden raadplegen,Ver condiciones,Ver as condições
forms > resource.8_255characters,8 - 255 caractères,8-255 tekens,8 - 255 caractères,8 - 255 Zeichen,8 - 255 tekens,8-255 caracteres,8 - 255 carateres
forms > resource.address1,Adresse (ligne 1),Straat en huisnummer,Adresse (ligne 1),Adresse (Zeile 1),Adres 1,Dirección (línea 1),Endereço (linha 1)
forms > resource.address2,Adresse (ligne 2),Adres 2 ,Adresse (ligne 2),Adresse (Zeile 2),Adres 2,Dirección (línea 2),Endereço (linha 2)
forms > resource.addtocart,Ajouter au panier,kopen,Ajouter au panier,In den Einkaufskorb ,kopen,Añadir al carro,Adicionar ao carrinho
forms > resource.city,Ville,Woonplaats,Ville,Ort,Stad,Localidad,Localidade
forms > resource.country,Pays,Land,Pays,Land,Land,País,País
forms > resource.postalCode_city,Code postal / Ville,Postcode / Woonplaats,Code postal / Ville,Postleitzahl,Postcode / Stad,Código postal/localidad,Código postal / Localidade
forms > resource.postalcode,Code postal,Postcode,Code postal,Postleitzahl,Postcode,Código postal,Código postal
forms > resource.send,Envoyer,Sturen,Envoyer,Absenden,Versturen,Enviar,Enviar
forms > resource.zipcode,Code postal,Postcode,Code postal,Postleitzahl,Postcode,Código postal,Código postal
forms > resource.zippostalcode,Code postal,Postcode,Code postal,Postleitzahl,Postcode,Código postal,Código postal
forms > restriction.country,Pays:,Country:,Pays:,Land,Land:,País:,País:
forms > subscribe.email.default,Adresse e-mail,E-mailadres,Adresse e-mail,E-Mail-Adresse,E-mailadres,Dirección de correo electrónico,Endereço de e-mail
forms > summary.cgvacceptance,"J’ai pris connaissance des <a href=""{0}"" class=""button-text"" target=""_blank""><b>CGV</b></a> et les accepte","Ik ga akkoord met de <a href =""{0}"" class =""button-text"" target =""_blank""><b>algemene voorwaarden</b></a>","J’ai pris connaissance des <a href=""{0}"" class=""button-text"" target=""_blank""><b>CGV</b></a> et les accepte","Ich habe die <a href=""{0}"" class=""button-text"" target=""_blank""><b>AGB</b></a> gelesen und stimme diesen zu","Ik ga akkoord met de <a href =""{0}"" class =""button-text"" target =""_blank""><b>algemene voorwaarden</b></a>","He leído y acepto las <a href=""{0}"" class=""button-text"" target=""_blank""><b>condiciones generales de venta</b></a>","Tomei conhecimento das <a href=""{0}"" class=""button-text"" target=""_blank""><b>CGV</b></a> e aceito-as"
forms > title.address,adresse,adres,adresse,Adresse,adres,dirección,endereço
forms > title.creditcard,carte de crédit,creditcard,carte de crédit,Kreditkarte,creditcard,tarjeta de crédito,cartão de crédito
product > writereviewdialog.confirmation,"Merci d'avoir soumis votre avis! Il sera examiné par notre équipe avant d'être publié._x000D_
",Bedankt voor je review!,Grazie per averci inviato la tua recensione! Sarà visionata dal nostro staff prima di essere pubblicata.,Danke für Ihre Bewertung! Sie wird nach einer Überprüfung durch unser Team veröffentlicht.,Dank u voor uw bijdrage. Deze zal door onze teams worden beoordeeld voor publicatie.,"¡Gracias por darnos tu opinión! Nuestro equipo la revisará antes de publicarla._x000D_
","Obrigado por enviar sua opinião! Será analisada pela nossa equipa antes de ser publicada._x000D_
"
product > product.bonusproductalert,Vous avez droit à un produit bonus.,U hebt recht op een bonusproduct.,Vous avez droit à un produit bonus.,Sie haben Anspruch auf einen Produktbonus.,U hebt recht op een bonusproduct.,Tienes derecho a un producto de bonificación.,Tem direito a receber um produto de bónus.
product > product.buy.here,ACHETER SUR CE SITE,In winkelmandje,ACHETER SUR CE SITE,AUF DIESER SEITE KAUFEN,In winkelmandje,COMPRAR EN ESTE SITIO,COMPRAR NESTE SITE
product > product.comparator.title,ÉPILATION BABYLISS,Babyliss ontharing,ÉPILATION BABYLISS,EPILATION BABYLISS,BaByliss ontharing,DEPILACIÓN BABYLISS,DEPILAÇÃO BABYLISS
product > product.label,Aller au produit : {0},Ga naar product: {0},Aller au produit : {0},Produkt zeigen: {0},Ga naar product: {0},Ir al producto: {0},Ir para o produto: {0}
product > product.profiter,en profiter,Bekijk nu,en profiter,Jetzt zugreifen,Hiervan genieten,aprovechar ahora,aproveitar
account > account.addressbook.addresslist.create,Créer une adresse,Adres toevoegen,Créer une adresse,Eine Adresse erstellen,Adres toevoegen,Crear una dirección,Criar um endereço
account > account.addressbook.addresslist.header,Adresses,Adressen,Adresses,Adressen,Adressen,Direcciones,Endereços
account > account.addressbook.miniaddress.phone,Téléphone :,Telefoon:,Téléphone :,Telefon:,Telefoon:,Teléfono:,Telefone:
account > account.header,Mon compte,Mijn account,Mon compte,Mein Konto,Mijn account,Mi cuenta,A minha conta
account > account.header.creataccount,Création de compte,Account aanmaken,Création de compte,Konto erstellen,Account aanmaken,Creación de cuentas,Criação de conta
account > account.login.checkmessage,Affichez votre commande même si vous n'êtes pas un utilisateur enregistré. Saisissez le numéro de la commande ainsi que le code postal de l'adresse de facturation.,Uw bestelling weergeven terwijl u geen geregistreerd gebruiker bent. Vul het bestelnummer in en de postcode van het factuuradres.,Affichez votre commande même si vous n'êtes pas un utilisateur enregistré. Saisissez le numéro de la commande ainsi que le code postal de l'adresse de facturation.,"Geben Sie Ihre Bestellung an, auch wenn Sie kein registrierter Benutzer sind.  Geben Sie die Nummer der Bestellung sowie die Postleitzahl der Rechnungsadresse ein. ",Uw bestelling weergeven terwijl u geen geregistreerd gebruiker bent. Vul het bestelnummer in en de postcode van het factuuradres.,Consulta tu pedido aunque no esté registrado como usuario. Introduce el número del pedido y el código postal de la dirección de facturación.,Pode consultar a sua encomenda mesmo que não se encontre registado como utilizador. Introduza o número da encomenda e também o código postal do endereço de faturação.
account > account.login.logininclude.customersheader,Connectez-vous,Inloggen,Connectez-vous,Melden Sie sich an,Inloggen,Inicia sesión,Inicie sessão
account > account.login.logininclude.forgotpassword,Mot de passe oublié ?,Wachtwoord vergeten?,Mot de passe oublié ?,Passwort vergessen?,Wachtwoord vergeten?,¿Has olvidado la contraseña?,Esqueceu-se da palavra-passe?
account > account.login.logininclude.forgotpassword.label,Demander la réinitialisation de votre mot de passe,Een nieuw wachtwoord aanvragen,Demander la réinitialisation de votre mot de passe,Zurücksetzen des Passwortes beantragen,Een nieuw wachtwoord aanvragen,Solicita recuperar tu contraseña,Pedir a reposição da sua palavra-passe
account > account.login.logininclude.locked,Ce compte est actuellement verrouillé.  Veuillez réessayer plus tard.,Dit account is op dit moment vergrendeld. Probeer het later nog eens.,Ce compte est actuellement verrouillé.  Veuillez réessayer plus tard.,Dieses Konto ist zurzeit gesperrt.  Bitte versuchen Sie es später noch einmal.,Dit account is op dit moment vergrendeld. Probeer het later nog eens.,Está cuenta está bloqueada actualmente.  Vuelve a intentarlo más tarde.,Esta conta encontra-se bloqueada.  Tente novamente mais tarde.
account > account.login.logininclude.loginerror,"Désolé, cette saisie ne correspond à aucun profil dans nos dossiers. Vérifiez l'orthographe et recommencez.","Helaas, de informatie die u hebt ingevuld is niet bekend in onze administratie. Controleer de spelling en probeer opnieuw.","Désolé, cette saisie ne correspond à aucun profil dans nos dossiers. Vérifiez l'orthographe et recommencez.",Leider entsprechen Ihre Angaben keinem bei uns registrierten Profil.  Überprüfen Sie die Schreibweise und versuchen Sie es erneut.,"Helaas, de informatie die u hebt ingevuld is niet bekend in onze administratie. Controleer de spelling en probeer opnieuw.","Lo sentimos, los datos introducidos no coinciden con ningún perfil de nuestra base de datos. Comprueba la ortografía y vuelve a empezar.","Lamentamos, os dados introduzidos não correspondem a nenhum perfil dos nossos registos. Verifique a ortografia e tente novamente."
account > account.login.logininclude.loginfberror,"Désolé, cette adresse est déjà associée à un compte enregistré sur ce site.  Veuillez vous connecter ou utiliser le lien du mot de passe oublié pour réinitialiser votre mot de passe.","Helaas, dit adres is reeds gekoppeld aan een bestaand account van deze website. Log in of klik op de link 'wachtwoord vergeten' om uw wachtwoord opnieuw in te stellen.","Désolé, cette adresse est déjà associée à un compte enregistré sur ce site.  Veuillez vous connecter ou utiliser le lien du mot de passe oublié pour réinitialiser votre mot de passe.","Diese Adresse ist bereits einem anderen Konto zugeordnet, das auf dieser Webseite registriert ist.   Bitte melden Sie sich an oder verwenden Sie den Link Passwort vergessen, um Ihr Passwort zurückzusetzen.","Helaas, dit adres is reeds gekoppeld aan een bestaand account van deze website. Log in of klik op de link 'wachtwoord vergeten' om uw wachtwoord opnieuw in te stellen.","Lo sentimos, esta dirección ya está asociada a una cuenta registrada en este sitio.  Inicia sesión o utiliza el enlace de la contraseña olvidada para recuperar tu contraseña.","Lamentamos, este endereço já está associado a uma conta registada neste site.  Inicie sessão ou utilize a ligação de recuperação da palavra-passe para repor a sua palavra-passe."
account > account.login.logininclude.oauthcustomersheader,Connectez-vous à l'aide de votre compte à partir de,Log in met uw account vanaf,Connectez-vous à l'aide de votre compte à partir de,Melden Sie sich mit Ihrem Konto an:,Log in met uw account vanaf,Inicia sesión utilizando tu cuenta a partir de,Inicie sessão com a sua conta em
account > account.login.logininclude.oauthcustomersheaderreturning,Vous vous êtes déjà connecté à l'aide du fournisseur externe ci-dessous. Cliquez sur ce fournisseur pour vous connecter à nouveau.,U bent al aangemeld via de onderstaande externe leverancier. Klik op deze leverancier om u opnieuw aan te melden.,Vous vous êtes déjà connecté à l'aide du fournisseur externe ci-dessous. Cliquez sur ce fournisseur pour vous connecter à nouveau.,"Sie sind bereits über den nachstehenden externen Lieferanten angemeldet.  Klicken Sie auf diesen Lieferanten, um sich erneut anzumelden.",U bent al aangemeld via de onderstaande externe leverancier. Klik op deze leverancier om u opnieuw aan te melden.,Ya has iniciado sesión utilizando el proveedor externo siguiente. Haz clic en este proveedor para volver a iniciar sesión.,Já iniciou sessão através do fornecedor externo indicado abaixo. Clique neste fornecedor para iniciar sessão novamente.
account > account.login.logininclude.registered,Saisissez votre adresse email et votre mot de passe pour vous identifier sur le site.,Vul uw e-mailadres en uw wachtwoord in om in te loggen,Saisissez votre adresse email et votre mot de passe pour vous identifier sur le site.,"Geben Sie Ihre E-Mail-Adresse und Ihr Passwort ein, um sich auf der Webseite anzumelden.",Vul uw e-mailadres en uw wachtwoord in om in te loggen,Introduce tu dirección de correo electrónico y contraseña para identificarte en el sitio.,Introduza o seu endereço de e-mail e a sua palavra-passe para se identificar no site.
account > account.login.orderbutton,Vérifier la commande,Controleer de bestelling,Vérifier la commande,Die Bestellung überprüfen,Controleer de bestelling,Comprobar pedido,Confirmar a encomenda
account > account.login.ordererror,"Désolé, ce numéro de commande, cette adresse e-mail ou ce code postal ne correspond à aucun profil dans nos dossiers. Vérifiez les informations saisies et recommencez.","Helaas, dit bestelnummer, dit e-mailadres of deze postcode is niet bekend in onze administratie. Controleer de ingevulde informatie en probeer opnieuw.","Désolé, ce numéro de commande, cette adresse e-mail ou ce code postal ne correspond à aucun profil dans nos dossiers. Vérifiez les informations saisies et recommencez.","Leider entspricht diese Bestellnummer, diese E-Mail-Adresse oder diese Postleitzahl keinem bei uns registrierten Profil. Überprüfen Sie Ihre Angaben und versuchen Sie es erneut.","Helaas, dit bestelnummer, dit e-mailadres of deze postcode is niet bekend in onze administratie. Controleer de ingevulde informatie en probeer opnieuw.","Lo sentimos, el número de pedido, la dirección de correo electrónico o el código postal no coincide con ningún perfil de nuestra base de datos. Comprueba los datos introducidos y vuelve a empezar.","Lamentamos, este número de encomenda, endereço de e-mail ou código postal não corresponde a nenhum perfil dos nossos registos. Confirme as informações introduzidas e tente novamente."
account > account.login.orderheader,Vérifier la commande,CONTROLEER BESTELLING,Vérifier la commande,Die Bestellung überprüfen,Controleer bestelling,Comprobar pedido,Confirmar a encomenda
account > account.orderdetails.returnorder,<< Retour à l'historique des commandes,<< Terug naar bestelgeschiedenis,<< Retour à l'historique des commandes,<< Zurück zum Bestellverlauf,<< Terug naar bestelhistoriek,<< Volver al historial de pedidos,<< Regressar ao histórico de encomendas
account > account.orderdetails.returnshopping,Poursuivre les achats,Verder winkelen,Poursuivre les achats,Einkauf fortsetzen,Verder winkelen,Seguir comprando,Continuar as compras
account > account.orders.datelabel,Date de la commande :,Besteldatum:,Date de la commande :,Datum der Bestellung:,Besteldatum:,Fecha del pedido:,Data da encomenda:
account > account.orders.items,Articles :,Artikelen:,Articles :,Artikel:,Artikelen:,Artículos:,Artigos:
account > account.orders.noorders,Nous n'avons aucun enregistrement pour ce compte.,Dit account is niet bij ons geregistreerd.,Nous n'avons aucun enregistrement pour ce compte.,Für dieses Konto ist nichts registriert.,Dit account is niet bij ons geregistreerd.,No tenemos ningún registro de esta cuenta.,Não temos nenhum registo relativo a esta conta.
account > account.orders.notfound,"Désolé, la commande que vous essayez de suivre est introuvable.","Helaas, de bestelling die u probeert te volgen kan niet worden gevonden.","Désolé, la commande que vous essayez de suivre est introuvable.","Leider ist die Bestellung, die Sie verfolgen möchten, nicht auffindbar. ","Helaas, de bestelling die u probeert te volgen kan niet worden gevonden.","Lo sentimos, no se encuentra el pedido para el que intentas hacer un seguimiento.","Lamentamos, não foi possível encontrar a encomenda que está a tentar seguir."
account > account.orders.numberlabel,Numéro de commande :,Bestelnummer:,Numéro de commande :,Bestellnummer:,Bestelnummer:,Número de pedido:,Número da encomenda:
account > account.orders.orderdetail,Détails de la commande,Bestelinformatie,Détails de la commande,Details der Bestellung,Bestelinformatie,Detalles del pedido,Detalhes da encomenda
account > account.orders.orderhistory,Historique des commandes,Bestelgeschiedenis,Historique des commandes,Bestellverlauf,Bestelhistoriek,Historial de pedidos,Histórico de encomendas
account > account.orders.shippedto,Expédié à :,Vervalt op:,Expédié à :,Verschickt an:,Verstuurd op:,Enviado a:,Enviada para:
account > account.orderstatusinclude.ordercanceled,Annulé,Geannuleerd,Annulé,Storniert,Geannuleerd,Cancelado,Cancelada
account > account.orderstatusinclude.ordercontact,Contactez le support client :,Neem contact op met de Klantenservice:,Contactez le support client :,Kontaktieren Sie den Kundendienst:,Neem contact op met de klantenservice:,Ponte en contacto con el servicio de atención al cliente:,Contacte o apoio ao cliente:
account > account.orderstatusinclude.orderprocessed,En cours de traitement,In behandeling,En cours de traitement,In Bearbeitung,In behandeling,En proceso,Em processamento
account > account.orderstatusinclude.ordershipped,Expédié,Vervallen,Expédié,Verschickt,Verstuurd,Enviado,Enviada
account > account.orderstatusinclude.statuslabel,État de la commande :,Bestelstatus:,État de la commande :,Bestellstatus:,Bestelstatus:,Estado del pedido:,Estado da encomenda:
account > account.passwordchangedemail.dear,Cher(ère),Beste,Cher(ère),Liebe(r),Beste,Distinguido/a,Caro/a
