key,fr_FR,it_IT
account > account.paymentinstrumentlist.header,Informations de carte de crédit,Informations de carte de crédit
account > account.setnewpassword.title,Définir un nouveau mot de passe,Définir un nouveau mot de passe
account > account.setnewpasswordconfirm.title,Mot de passe modifié,
account > account.setnewpasswordconfirm.message,Opération réussie Vous avez créé un nouveau mot de passe pour votre compte.,
account > account.user.registration.createnew,Créer un compte,Crea account
account > account.user.registration.editaccount,Données personnelles,Dati personali
account > account.user.registration.editname,Modifier nom / email,Modificare nome / e-mail
account > account.user.registration.logininfo,E-mail/informations de connexion,E-mail/informations de connexion
account > account.user.registration.name,Nom / Email,Nome / e-mail
account > wishlist.addaddress,Ajouter une adresse de livraison,Ajouter une adresse de livraison
checkout > approachingpromo.purchase,Achetez,Achetez
checkout > approachingpromo.receive,et recevez,et recevez
checkout > billing.addressheader,Facturation,Facturation
checkout > billing.creditcarddeleteconfirm,Voulez-vous supprimer cette carte de crédit ?,Voulez-vous supprimer cette carte de crédit ?
checkout > billing.creditcarddeleted,La carte de crédit a été supprimée !,La carte de crédit a été supprimée !
checkout > billing.creditcarddeletenotselected,Sélectionnez la carte de crédit à supprimer., die entfernt werden soll.
checkout > billing.creditcardexpires,Expire,Expire
checkout > billing.creditcardlistexp,Expiration,Expiration
checkout > billing.creditcardlistnocards,Il n'y a actuellement aucune carte enregistrée.,Il n'y a actuellement aucune carte enregistrée.
checkout > billing.creditcardlistselect,Sélectionner parmi les cartes enregistrées,Sélectionner parmi les cartes enregistrées
checkout > billing.creditcardloaderror,Impossible de charger la carte de crédit !, die Kreditkarte zu belasten!
checkout > billing.creditcardnotdeleted,La carte de crédit n'a pas pu être supprimée !,La carte de crédit n'a pas pu être supprimée !
checkout > billing.deletecard,Supprimer la carte,Supprimer la carte
checkout > billing.missingprocessorerror,Le mode de paiement que vous avez sélectionné n'est pas disponible actuellement. Sélectionnez un autre mode de paiement.,Le mode de paiement que vous avez sélectionné n'est pas disponible actuellement. Sélectionnez un autre mode de paiement.
checkout > billing.newcreditcardadded,La nouvelle carte de crédit a été ajoutée.,La nouvelle carte de crédit a été ajoutée.
checkout > billing.ownerparseerror,Ceci est un numéro de carte de crédit. Saisissez le nom du titulaire de la carte de crédit.,Ceci est un numéro de carte de crédit. Saisissez le nom du titulaire de la carte de crédit.
checkout > billing.paymentheader,Sélectionner un mode de paiement,Sélectionner un mode de paiement
checkout > billing.selectcreditcard,Sélectionner une carte de crédit,Sélectionner une carte de crédit
checkout > billing.zerobalance,Le solde à payer de votre commande est nul. Par conséquent,Der zu zahlende Restbetrag aus Ihrer Bestellung beträgt Null. Deshalb ist keine Auswahl der Zahlungsart erforderlich
checkout > cart.bonusnumselected,Vous avez sélectionné {0} article(s).,Vous avez sélectionné {0} article(s).
checkout > cart.bonusproduct.button.more,plus,plus
checkout > cart.cartcouponinvalid,Votre panier contient actuellement un bon de réduction invalide. Supprimez ce bon de réduction avant d'accéder au paiement.,Votre panier contient actuellement un bon de réduction invalide. Supprimez ce bon de réduction avant d'accéder au paiement.
checkout > cart.cartempty,Votre panier est vide,Votre panier est vide
checkout > cart.carterror,Votre panier ne peut pas être validé car un ou plusieurs produits, weil er einen oder mehrere Artikel_x000D_
checkout > cart.COUPON_CODE_MISSING,Saisissez un code promo.,Saisissez un code promo.
checkout > cart.COUPON_CODE_UNKNOWN,"Le code de bon de réduction ""{0}"" est inconnu.","Le code de bon de réduction ""{0}"" est inconnu."
checkout > cart.couponcode,Numéro du bon de réduction :,Numéro du bon de réduction :
checkout > cart.entercouponcode,code promo,code promo
checkout > cart.itemtotal,Total des articles,Total des articles
checkout > cart.lastvisited.header,Date de la dernière visite,Date de la dernière visite
checkout > cart.limitedQuantity,Votre panier ne peut actuellement pas être converti en commande car un ou plusieurs produits qu'il contient ont un prix non valide ou ne sont pas disponibles dans la quantité demandée. Pour toute question,Ihr Einkaufskorb kann zurzeit nicht als Bestellung aufgenommen werden
checkout > cart.NO_ACTIVE_PROMOTION,"Le code de bon de réduction ""{0}"" ne peut actuellement pas être ajouté à votre panier.","Le code de bon de réduction ""{0}"" ne peut actuellement pas être ajouté à votre panier."
checkout > cart.option,Option,Option
checkout > cart.store.deliveryoptions,Options de livraison,Options de livraison
checkout > cart.store.homedelivery,Livraison à domicile,Consegna a domicilio
checkout > cart.store.instorepickup,Livraison en magasin,Livraison en magasin
checkout > cart.store.notavailable,Non disponible,Non disponible
checkout > cart.store.storepickupaddress,Adresse du magasin,Adresse du magasin
checkout > cart.taxinvalid,Une erreur s'est produite lors du calcul des taxes pour un ou plusieurs produits de votre panier.,Une erreur s'est produite lors du calcul des taxes pour un ou plusieurs produits de votre panier.
checkout > cart.unableToAdd,Impossible d'ajouter l'article '{0}' au panier, den Artikel '{0}' zum Einkaufskorb hinzuzufügen
checkout > checkoutlogin.checkoutguestbutton,Continuer,Continuer
checkout > checkoutlogin.guestheader,Nouveaux clients,Nouveaux clients
checkout > checkoutlogin.guestmessage,Vous pouvez passer votre commande sans inscription. Si vous le souhaitez,Sie können bestellen
checkout > checkoutlogin.guesttitle,Commander en tant qu’invité,Commander en tant qu’invité
checkout > checkoutlogin.registerbenefits,Pourquoi créer son compte ?,Pourquoi créer son compte ?
checkout > checkoutprogressindicator.billing,Facturation,Facturation
checkout > checkoutprogressindicator.placeorder,Commande,Commande
checkout > checkoutprogressindicator.shipping,Livraison,Livraison
checkout > checkoutprogressindicator.shippingmethods,Modes de livraison,Modes de livraison
checkout > checkoutprogressindicator.step1,Étape 1 :,Étape 1 :
checkout > checkoutprogressindicator.step2,Étape 2 :,Étape 2 :
checkout > checkoutprogressindicator.step3,Étape 3 :,Étape 3 :
checkout > checkoutprogressindicator.step4,Étape 4 :,Étape 4 :
checkout > confirm.error.declined,Votre commande n'a pas pu être validée. Vérifiez vos modes de paiement et recommencez. Nous vous remercions de votre patience.,Votre commande n'a pas pu être validée. Vérifiez vos modes de paiement et recommencez. Nous vous remercions de votre patience.
checkout > confirm.error.technical,Nous sommes désolés mais votre commande n’a pas pu être validée (le paiement a échoué). Merci de confirmer à nouveau votre commande et de ressaisir les données de paiement.,Nous sommes désolés mais votre commande n’a pas pu être validée (le paiement a échoué). Merci de confirmer à nouveau votre commande et de ressaisir les données de paiement.
checkout > confirmation.message,Pour toute question sur votre commande,Für Fragen zu Ihrer Bestelllung kontaktieren Sie uns unter
checkout > confirmation.returnshop,Poursuivre mes achats,Poursuivre mes achats
checkout > confirmation.thankyou,Merci pour votre commande.,Merci pour votre commande.
checkout > minibillinginfo.amount,Montant,Montant
checkout > minibillinginfo.billingaddress,Adresse de facturation,Adresse de facturation
checkout > minicart.directcheckout,ou aller directement au paiement,ou aller directement au paiement
checkout > minicart.title,Votre panier,Votre panier
checkout > minicart.viewcart,Afficher le panier,Afficher le panier
checkout > minicart.viewcart.label,Aller au panier,Aller au panier
checkout > minishipments.shippingaddress,Adresse de livraison,Adresse de livraison
checkout > multishippingshipments.shipment,Livraison,Livraison
checkout > singleshipping.enteraddress,Livraison,Livraison
checkout > singleshipping.phonerequired,Pourquoi est-ce obligatoire ?,Pourquoi est-ce obligatoire ?
checkout > summary.applied,Appliqué,Appliqué
checkout > summary.couponnumber,N° du bon de réduction :,N° du bon de réduction :
checkout > summary.editcart,Modifier le panier,Modifier le panier
checkout > summary.notapplied,Non appliqué,Non appliqué
checkout > summary.orderdiscount,Remise sur la commande :,Remise sur la commande :
checkout > summary.ordertotal,Total,Total
checkout > summary.title,Récapitulatif de la commande,Récapitulatif de la commande
common > error_forbidden.message,Votre session a peut-être été détournée. Retour à la,Votre session a peut-être été détournée. Retour à la
components > menulinksleft.ecommerce,E-SHOP,E-SHOP
components > menulinksright.promotions,Promotions,Promozioni
components > orderdetails.billingaddress,Adresse de facturation,Adresse de facturation
components > orderdetails.paymentmethod,Mode de paiement,Mode de paiement
components > orderdetails.paymenttotal,Total paiement,Total paiement
components > orderdetails.shippingaddress,Adresse de livraison,Adresse de livraison
components > orderdetails.shippingdetails,Détails de la livraison,Détails de la livraison
components > orderdetails.shippingmethod,Mode de livraison :,Mode de livraison :
components > orderdetails.shippingstatus,état de la livraison :,état de la livraison :
components > orderdetails.shippingto,Livraison à ,Livraison à
components > orderdetails.tracking,Numéro de suivi :,Numéro de suivi :
components > ordersummary.orderdiscount,Remise sur la commande,Remise sur la commande
components > ordersummary.ordershipping,Livraison,Livraison
components > ordersummary.ordersubtotal,Sous-total de la commande,Sous-total de la commande
components > ordersummary.subtotal,Sous-total,Sous-total
contact > contact.accessories.label,Commande accessoires,Ordine accessori
email > contactus.other,Demande Autres provenant de votre site Internet,Demande Autres provenant de votre site Internet
email > contactus.sav,Demande de SAV / Réclamation provenant de votre site Internet,Demande de SAV / Réclamation provenant de votre site Internet
email > contactus.subject.accessories,Commande accessoires,Ordine accessori
email > contactus.subject.notice,Notice d'utilisation,Istruzioni per l'uso
email > contactus.text,Un message a été déposé sur le site Babyliss.FR.,È stato pubblicato un messaggio sul sito Babyliss.it.
email > orderconfirmation.altorderconfirmed,Votre commande est confirmée !,Il tuo ordine è confermato!
email > orderconfirmation.azur,N° AZUR 0 810 34 35 36 prix appel local,N° AZUR 0 810 34 35 36 prix appel local
email > orderconfirmation.contactus,Pour toute question sur votre commande,font-size:16px
